['EzypoIiorz', 'PaulTheo10', '1-0, EzypoIiorz won by checkmate', '2024.12.30', 'Philidor Defense', None]
['Wuonichiwua2', 'EzypoIiorz', '1/2-1/2, Game drawn by stalemate', '2024.12.30', 'Ware Opening: Meadow Hay Trap', None]
['EzypoIiorz', 'ghasem24', '0-1, ghasem24 won by checkmate', '2024.12.30', 'Van Geet Opening: Grünfeld Defense', None]
['EzypoIiorz', 'Weezybabyy', '1-0, EzypoIiorz won on time', '2024.12.30', 'French Defense: Mediterranean Defense', None]
['aklsagligini-Kaybe-2', 'EzypoIiorz', '0-1, EzypoIiorz won by resignation', '2024.12.31', 'English Opening: The Whale', None]
['EzypoIiorz', 'pardhivtirupathi', '0-1, pardhivtirupathi won by resignation', '2024.12.31', 'French Defense: Normal Variation', None]
['sandro19841984', 'EzypoIiorz', '1-0, sandro19841984 won by checkmate', '2024.12.31', "Queen's Pawn Game", None]
['popcorn_2077', 'EzypoIiorz', '1-0, popcorn_2077 won by checkmate', '2024.12.31', "Bishop's Opening: Philidor Counterattack", None]
['EzypoIiorz', 'AmlanSahooX07', '1-0, EzypoIiorz won by checkmate', '2024.12.31', "Petrov's Defense", None]
['mattiamappano', 'EzypoIiorz', '0-1, EzypoIiorz won by checkmate', '2024.12.31', 'Amsterdam Attack', None]
['EzypoIiorz', 'takataou2', '0-1, takataou2 won by checkmate', '2024.12.31', "Modern Defense: Geller's System", None]
['SachinssyYadav001', 'EzypoIiorz', '1-0, SachinssyYadav001 won by checkmate', '2024.12.31', 'Vienna Game', None]
['cigloc', 'EzypoIiorz', '1-0, cigloc won by checkmate', '2024.12.31', 'Vienna Game: Max Lange Defense', None]
['melcharka', 'EzypoIiorz', '1-0, melcharka won by resignation', '2025.01.01', "King's Pawn Game: Clam Variation, Radisch Gambit", None]
['EzypoIiorz', 'Panda4022', '0-1, Panda4022 won by checkmate', '2025.01.01', 'Van Geet Opening: Grünfeld Defense', None]
['dmitriyDZ', 'EzypoIiorz', '1-0, dmitriyDZ won by checkmate', '2025.01.02', 'Scotch Game: Scotch Gambit', None]
['EzypoIiorz', 'jessez93', '1-0, EzypoIiorz won - game abandoned', '2025.01.02', 'Alekhine Defense: Scandinavian Variation', None]
['EzypoIiorz', 'Guedesnaldo', '1-0, EzypoIiorz won by resignation', '2025.01.02', 'Ponziani Opening: Vukovic Gambit', None]
['ahmet-ffm', 'EzypoIiorz', '0-1, EzypoIiorz won - game abandoned', '2025.01.02', "Queen's Gambit Declined: Chigorin Defense", None]
['EzypoIiorz', 'puneethayc', '1/2-1/2, Game drawn by timeout vs insufficient material', '2025.01.03', "King's Pawn Game: Maróczy Defense", None]
['guddan8', 'EzypoIiorz', '1-0, guddan8 won by checkmate', '2025.01.03', "Queen's Pawn Game", None]
['EzypoIiorz', 'yundaik0n', '1-0, EzypoIiorz won on time', '2025.01.03', 'Three Knights Opening', None]
['EzypoIiorz', 'westchess20', '0-1, westchess20 won by checkmate', '2025.01.03', 'Caro-Kann Defense: Campomanes Attack', None]
['Ouatsonne', 'EzypoIiorz', '1-0, Ouatsonne won by resignation', '2025.01.03', "Italian Game: Two Knights Defense, Modern Bishop's Opening", None]
['ZZYYAAD', 'EzypoIiorz', '1-0, ZZYYAAD won by checkmate', '2025.01.03', "Queen's Gambit Declined: Marshall Defense, Tan Gambit", None]
['EzypoIiorz', 'jacksone05chess', '0-1, jacksone05chess won by resignation', '2025.01.03', "King's Pawn Game: Damiano Defense", None]
['tylertheskater', 'EzypoIiorz', '1-0, tylertheskater won by checkmate', '2025.01.03', 'Ponziani Opening: Vukovic Gambit', None]
['EzypoIiorz', 'Husamettinnn', '0-1, Husamettinnn won by checkmate', '2025.01.04', "Petrov's Defense: Three Knights Game", None]
['EzypoIiorz', 'soorajao', '0-1, soorajao won by checkmate', '2025.01.04', 'Van Geet Opening: Grünfeld Defense', None]
['sasu14', 'EzypoIiorz', '1-0, sasu14 won by checkmate', '2025.01.04', 'Four Knights Game', None]
['EzypoIiorz', 'aattoxdrestroyer', '0-1, aattoxdrestroyer won by checkmate', '2025.01.04', 'Pterodactyl Defense: Western, Anhanguera', None]
['doctorsaso', 'EzypoIiorz', '1-0, doctorsaso won by checkmate', '2025.01.04', 'Zukertort Opening: Reversed Mexican Defense', None]
['EzypoIiorz', 'Bogdan1tfvh', '0-1, Bogdan1tfvh won - game abandoned', '2025.01.04', 'Vienna Game: Omaha Gambit', None]
